#group,false,false,true,true,false,false,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#default,mean,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device,name,type
,,5,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-02-03T05:52:00Z,0.5002656748140276,value,t_b660ab2e-fb4940ba,LocalKepServerDozarePompare,Epurare_FuncGratar2,Int32
,,5,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-02-03T16:20:00Z,0.5,value,t_b660ab2e-fb4940ba,LocalKepServerDozarePompare,Epurare_FuncGratar2,Int32
,,5,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-02-06T17:36:00Z,0.5001544640098857,value,t_b660ab2e-fb4940ba,LocalKepServerDozarePompare,Epurare_FuncGratar2,Int32
,,5,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-02-07T04:04:00Z,0.5,value,t_b660ab2e-fb4940ba,LocalKepServerDozarePompare,Epurare_FuncGratar2,Int32
,,5,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-02-07T14:32:00Z,0.5,value,t_b660ab2e-fb4940ba,LocalKepServerDozarePompare,Epurare_FuncGratar2,Int32
,,5,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-02-08T01:00:00Z,0.4997275204359673,value,t_b660ab2e-fb4940ba,LocalKepServerDozarePompare,Epurare_FuncGratar2,Int32
,,5,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-02-08T11:28:00Z,0.5,value,t_b660ab2e-fb4940ba,LocalKepServerDozarePompare,Epurare_FuncGratar2,Int32
,,5,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-02-08T21:56:00Z,0.5,value,t_b660ab2e-fb4940ba,LocalKepServerDozarePompare,Epurare_FuncGratar2,Int32
,,5,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-02-09T08:24:00Z,0.5001372495196267,value,t_b660ab2e-fb4940ba,LocalKepServerDozarePompare,Epurare_FuncGratar2,Int32
,,5,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-02-09T18:52:00Z,0.49986634589681905,value,t_b660ab2e-fb4940ba,LocalKepServerDozarePompare,Epurare_FuncGratar2,Int32
,,5,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-02-10T05:20:00Z,0.5,value,t_b660ab2e-fb4940ba,LocalKepServerDozarePompare,Epurare_FuncGratar2,Int32
,,5,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-02-10T15:48:00Z,0.5,value,t_b660ab2e-fb4940ba,LocalKepServerDozarePompare,Epurare_FuncGratar2,Int32
,,5,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-02-11T02:16:00Z,0.5002673796791444,value,t_b660ab2e-fb4940ba,LocalKepServerDozarePompare,Epurare_FuncGratar2,Int32
,,5,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-02-11T12:44:00Z,0.5,value,t_b660ab2e-fb4940ba,LocalKepServerDozarePompare,Epurare_FuncGratar2,Int32
,,5,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-02-11T23:12:00Z,0.5,value,t_b660ab2e-fb4940ba,LocalKepServerDozarePompare,Epurare_FuncGratar2,Int32
,,5,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-02-12T09:40:00Z,0.5001378549765646,value,t_b660ab2e-fb4940ba,LocalKepServerDozarePompare,Epurare_FuncGratar2,Int32
,,5,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-02-12T20:08:00Z,0.4998644619137978,value,t_b660ab2e-fb4940ba,LocalKepServerDozarePompare,Epurare_FuncGratar2,Int32
,,5,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-02-13T06:36:00Z,0.5001335113484646,value,t_b660ab2e-fb4940ba,LocalKepServerDozarePompare,Epurare_FuncGratar2,Int32
,,5,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-02-13T17:04:00Z,0.4998667732480682,value,t_b660ab2e-fb4940ba,LocalKepServerDozarePompare,Epurare_FuncGratar2,Int32
,,5,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-02-14T03:32:00Z,0.5,value,t_b660ab2e-fb4940ba,LocalKepServerDozarePompare,Epurare_FuncGratar2,Int32
,,5,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-02-14T14:00:00Z,0.5389195148842337,value,t_b660ab2e-fb4940ba,LocalKepServerDozarePompare,Epurare_FuncGratar2,Int32
,,5,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-02-15T00:28:00Z,0.5544949905226103,value,t_b660ab2e-fb4940ba,LocalKepServerDozarePompare,Epurare_FuncGratar2,Int32
,,5,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-02-15T10:56:00Z,0.5523415977961432,value,t_b660ab2e-fb4940ba,LocalKepServerDozarePompare,Epurare_FuncGratar2,Int32
,,5,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-02-15T21:24:00Z,0.556136606189968,value,t_b660ab2e-fb4940ba,LocalKepServerDozarePompare,Epurare_FuncGratar2,Int32
,,5,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-02-16T18:20:00Z,0.5548450565666503,value,t_b660ab2e-fb4940ba,LocalKepServerDozarePompare,Epurare_FuncGratar2,Int32
